Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
BPSK,0.0314,0.5,0.1353,32,0.0,0.0,1.0,40.0,0.3,4,10,0.05020475387573242
BPSK,0.01,0.0628,0.045,32,0.02,-0.03,1.0,80.0,0.005000000000000001,8,10,0.07617402076721191
BPSK,0.0314,0.1874,0.4479,32,0.0,0.0,1.0,0.0,0.5,0,10,0.08068037033081055
BPSK,0.01,0.03,0.045,32,0.02,-0.03,1.0,70.0,0.0075,7,10,0.06713128089904785
BPSK,0.0314,0.0628,0.045,24,0.2,0.005,1.0002,90.0,0.0025000000000000005,9,10,0.07533740997314453
QPSK,0.0314,0.2134,0.5,32,0.15,0.0,1.0,0.0,0.025,0,10,0.06819558143615723
QPSK,0.0314,0.0832,0.2655,32,0.0,0.0,1.0,80.0,0.1,8,10,0.06391239166259766
QPSK,0.0314,0.0628,0.025,16,0.1,0.005,1.0,90.0,0.0025000000000000005,9,10,0.055684804916381836
QPSK,0.08,0.03,0.045,32,0.02,0.015,1.0,0.0,0.025,0,10,0.062284231185913086
BPSK,0.0314,0.0628,0.045,16,0.2,0.005,0.9998,90.0,0.0025000000000000005,9,10,0.057607173919677734
QPSK,0.0314,0.0628,0.025,32,0.05,0.005,0.9998,90.0,0.0025000000000000005,9,10,0.06575775146484375
QPSK,0.0314,0.1613,0.2395,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.06229138374328613
QPSK,0.0314,0.0571,0.0311,32,0.0,0.0,1.0,90.0,0.0,9,10,0.05853629112243652
QPSK,0.0314,0.0571,0.5,32,0.0,0.0,1.0,0.0,0.5,0,10,0.08045649528503418
BPSK,0.0314,0.5,0.4739,32,0.0,0.0,1.0,0.0,0.5,0,10,0.058508872985839844
BPSK,0.0314,0.1613,0.0832,32,0.15,0.0,1.0,70.0,0.0075,7,10,0.06980395317077637
QPSK,0.0314,0.1,0.045,32,0.02,0.015,1.0,90.0,0.0025000000000000005,9,10,0.07254528999328613
BPSK,0.0314,0.2916,0.1874,32,0.0,0.0,1.0,70.0,0.15,7,10,0.06369543075561523
QPSK,0.0314,0.005,0.1353,32,0.15,0.0,1.0,0.0,0.025,0,10,0.08129549026489258
