Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,HW_Target,PDR,BER,MatchedPkts,TotalPkts
BPSK,0.35,0.8,0.025,32,sim,90.0,0.05,9,10
BPSK,0.0314,0.0628,0.025,16,sim,90.0,0.05,9,10
QPSK,0.0314,0.165,0.025,32,sim,90.0,0.05,9,10
QPSK,0.0314,0.4,0.025,32,sim,90.0,0.05,9,10
BPSK,0.6,0.6,0.025,32,sim,0.0,0.5,0,10
QPSK,0.1,1.0,0.025,32,sim,10.0,0.45,1,10
BPSK,0.6,0.25,0.025,32,sim,0.0,0.5,0,10
BPSK,0.055,0.035,0.025,32,sim,90.0,0.05,9,10
QPSK,0.005,0.1,0.025,32,sim,90.0,0.05,9,10
QPSK,0.055,1.0,0.025,32,sim,20.0,0.4,2,10
QPSK,0.1,0.4,0.025,32,sim,90.0,0.05,9,10
BPSK,0.0314,0.0628,0.18,32,sim,70.0,0.15,7,10
BPSK,0.005,0.4,0.025,32,sim,90.0,0.05,9,10
BPSK,0.35,0.6,0.025,32,sim,90.0,0.05,9,10
QPSK,0.055,0.165,0.025,32,sim,90.0,0.05,9,10
QPSK,0.015,0.015,0.025,32,sim,80.0,0.1,8,10
QPSK,0.005,0.015,0.025,32,sim,80.0,0.1,8,10
BPSK,0.6,0.035,0.025,32,sim,0.0,0.5,0,10
QPSK,0.35,0.165,0.025,32,sim,0.0,0.5,0,10
BPSK,0.35,0.25,0.025,32,sim,90.0,0.05,9,10
BPSK,0.0314,1.0,0.025,32,sim,90.0,0.05,9,10
QPSK,0.6,0.25,0.025,32,sim,0.0,0.5,0,10
QPSK,0.0314,0.0628,0.015,32,sim,90.0,0.05,9,10
QPSK,0.0314,0.0628,0.3,32,sim,0.0,0.5,0,10
BPSK,0.1,0.0628,0.025,32,sim,90.0,0.05,9,10
QPSK,0.35,0.6,0.025,32,sim,10.0,0.45,1,10
QPSK,0.0314,0.0628,0.045,32,sim,90.0,0.05,9,10
BPSK,0.0314,0.1,0.025,32,sim,90.0,0.05,9,10
BPSK,1.0,0.165,0.025,32,sim,0.0,0.5,0,10
QPSK,0.015,0.0628,0.025,32,sim,90.0,0.05,9,10
BPSK,0.1,0.165,0.025,32,sim,90.0,0.05,9,10
BPSK,0.35,0.015,0.025,32,sim,60.0,0.2,6,10
QPSK,0.005,0.8,0.025,32,sim,80.0,0.1,8,10
QPSK,0.6,1.0,0.025,32,sim,0.0,0.5,0,10
QPSK,0.055,0.1,0.025,32,sim,90.0,0.05,9,10
QPSK,0.19,0.165,0.025,32,sim,90.0,0.05,9,10
QPSK,0.005,0.0628,0.025,32,sim,90.0,0.05,9,10
BPSK,0.015,0.25,0.025,32,sim,90.0,0.05,9,10
BPSK,0.6,0.165,0.025,32,sim,0.0,0.5,0,10
BPSK,0.015,0.035,0.025,32,sim,90.0,0.05,9,10
BPSK,1.0,1.0,0.025,32,sim,0.0,0.5,0,10
BPSK,0.1,1.0,0.025,32,sim,80.0,0.1,8,10
BPSK,0.055,0.25,0.025,32,sim,90.0,0.05,9,10
QPSK,0.6,0.4,0.025,32,sim,0.0,0.5,0,10
BPSK,0.6,0.0628,0.025,32,sim,0.0,0.5,0,10
