rank,mod_type,fll_bw,costas_bw,sym_bw,preamble_size,avg_ber,min_ber,avg_pdr,max_noise_tolerance,composite_score,tested_scenarios
1,QPSK,0.0628,0.1,0.103,32,0.0,0.0,80.0,0.0,1798.4,1
2,BPSK,0.02,0.03,0.029,32,0.0,0.0,80.0,0.0,1798.4,1
3,QPSK,0.0314,0.075,0.081,32,0.0,0.0,80.0,0.0,1798.4,1
4,QPSK,0.0314,0.085,0.061,32,0.0,0.0,80.0,0.0,1798.4,1
5,BPSK,0.02,0.05,0.041,32,0.0,0.0,80.0,0.0,1798.4,1
6,QPSK,0.0628,0.09,0.005,32,0.0,0.0,80.0,0.0,1798.4,1
7,BPSK,0.0314,0.03,0.021,32,0.0,0.0,80.0,0.0,1798.4,1
8,QPSK,0.0314,0.1,0.107,32,0.0,0.0,80.0,0.0,1798.4,1
9,QPSK,0.0628,0.075,0.135,32,0.0,0.0,80.0,0.0,1798.4,1
10,QPSK,0.02,0.035,0.007,32,0.0,0.0,80.0,0.0,1798.4,1
11,BPSK,0.0628,0.07,0.041,32,0.0,0.0,80.0,0.0,1798.4,1
12,QPSK,0.02,0.055,0.117,32,0.0,0.0,80.0,0.0,1798.4,1
13,QPSK,0.0314,0.105,0.047,32,0.0,0.0,80.0,0.0,1798.4,1
14,BPSK,0.0314,0.11,0.043,32,0.0,0.0,80.0,0.0,1798.4,1
15,QPSK,0.0314,0.025,0.047,32,0.0,0.0,80.0,0.0,1798.4,1
16,QPSK,0.0314,0.05,0.035,32,0.0,0.0,80.0,0.0,1798.4,1
17,BPSK,0.0628,0.085,0.029,32,0.0,0.0,80.0,0.0,1798.4,1
18,QPSK,0.02,0.05,0.053,32,0.0,0.0,80.0,0.0,1798.4,1
19,BPSK,0.0314,0.02,0.055,32,0.0,0.0,80.0,0.0,1798.4,1
20,QPSK,0.02,0.085,0.073,32,0.0,0.0,80.0,0.0,1798.4,1
21,BPSK,0.0628,0.115,0.015,32,0.0,0.0,80.0,0.0,1798.4,1
22,QPSK,0.0628,0.07,0.007,32,0.0,0.0,80.0,0.0,1798.4,1
23,BPSK,0.02,0.025,0.029,32,0.0,0.0,80.0,0.0,1798.4,1
24,QPSK,0.02,0.095,0.121,32,0.0,0.0,80.0,0.0,1798.4,1
25,BPSK,0.0314,0.05,0.057,32,0.0,0.0,80.0,0.0,1798.4,1
26,QPSK,0.0314,0.035,0.133,32,0.0,0.0,80.0,0.0,1798.4,1
27,BPSK,0.02,0.055,0.045,32,0.0,0.0,80.0,0.0,1798.4,1
28,BPSK,0.0314,0.1,0.049,32,0.0,0.0,80.0,0.0,1798.4,1
