Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
BPSK,0.01,0.03,0.025,16,0.0,-0.015,0.9998,80.0,0.1,8,10,0.04053616523742676
BPSK,0.01,0.03,0.025,16,0.0,-0.015,1.0002,80.0,0.1,8,10,0.04875659942626953
BPSK,0.01,0.03,0.025,16,0.0,0.0,0.9998,90.0,0.0,9,10,0.0458836555480957
BPSK,0.01,0.03,0.025,16,0.0,0.0,1.0002,90.0,0.0,9,10,0.03470969200134277
BPSK,0.01,0.03,0.025,16,0.0,0.015,0.9998,80.0,0.1,8,10,0.03951621055603027
BPSK,0.01,0.03,0.025,16,0.0,0.015,1.0002,80.0,0.1,8,10,0.03029942512512207
BPSK,0.01,0.03,0.025,16,0.2,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.040671348571777344
BPSK,0.01,0.03,0.025,16,0.2,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.04473567008972168
BPSK,0.01,0.03,0.025,16,0.2,0.0,0.9998,90.0,0.005000000000000001,9,10,0.04053497314453125
BPSK,0.01,0.03,0.025,16,0.2,0.0,1.0002,90.0,0.005000000000000001,9,10,0.04008793830871582
BPSK,0.01,0.03,0.025,16,0.2,0.015,0.9998,80.0,0.010000000000000002,8,10,0.04230499267578125
BPSK,0.01,0.03,0.025,16,0.2,0.015,1.0002,80.0,0.010000000000000002,8,10,0.044217824935913086
BPSK,0.01,0.03,0.025,16,0.45,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.04502582550048828
BPSK,0.01,0.03,0.025,16,0.45,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.03670358657836914
BPSK,0.01,0.03,0.025,16,0.45,0.0,0.9998,90.0,0.005000000000000001,9,10,0.039971351623535156
BPSK,0.01,0.03,0.025,16,0.45,0.0,1.0002,90.0,0.005000000000000001,9,10,0.0387728214263916
BPSK,0.01,0.03,0.025,16,0.45,0.015,0.9998,80.0,0.010000000000000002,8,10,0.04135942459106445
BPSK,0.01,0.03,0.025,16,0.45,0.015,1.0002,80.0,0.010000000000000002,8,10,0.04035305976867676
BPSK,0.01,0.03,0.025,32,0.0,-0.015,0.9998,80.0,0.1,8,10,0.041745662689208984
BPSK,0.01,0.03,0.025,32,0.0,-0.015,1.0002,80.0,0.1,8,10,0.05771064758300781
BPSK,0.01,0.03,0.025,32,0.0,0.0,0.9998,90.0,0.0,9,10,0.04094648361206055
BPSK,0.01,0.03,0.025,32,0.0,0.0,1.0002,90.0,0.0,9,10,0.04543304443359375
BPSK,0.01,0.03,0.025,32,0.0,0.015,0.9998,80.0,0.1,8,10,0.061510562896728516
BPSK,0.01,0.03,0.025,32,0.0,0.015,1.0002,80.0,0.1,8,10,0.04581046104431152
BPSK,0.01,0.03,0.025,32,0.2,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.061307668685913086
BPSK,0.01,0.03,0.025,32,0.2,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.04985475540161133
BPSK,0.01,0.03,0.025,32,0.2,0.0,0.9998,90.0,0.005000000000000001,9,10,0.04355359077453613
BPSK,0.01,0.03,0.025,32,0.2,0.0,1.0002,90.0,0.005000000000000001,9,10,0.04742574691772461
BPSK,0.01,0.03,0.025,32,0.2,0.015,0.9998,80.0,0.010000000000000002,8,10,0.040636301040649414
BPSK,0.01,0.03,0.025,32,0.2,0.015,1.0002,80.0,0.010000000000000002,8,10,0.043415069580078125
BPSK,0.01,0.03,0.025,32,0.45,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.05279350280761719
BPSK,0.01,0.03,0.025,32,0.45,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.04077005386352539
BPSK,0.01,0.03,0.025,32,0.45,0.0,0.9998,90.0,0.005000000000000001,9,10,0.03734612464904785
BPSK,0.01,0.03,0.025,32,0.45,0.0,1.0002,90.0,0.005000000000000001,9,10,0.05174827575683594
BPSK,0.01,0.03,0.025,32,0.45,0.015,0.9998,70.0,0.015,7,10,0.04688596725463867
BPSK,0.01,0.03,0.025,32,0.45,0.015,1.0002,80.0,0.010000000000000002,8,10,0.04466366767883301
BPSK,0.01,0.03,0.025,48,0.0,-0.015,0.9998,80.0,0.1,8,10,0.04763936996459961
BPSK,0.01,0.03,0.025,48,0.0,-0.015,1.0002,80.0,0.1,8,10,0.04460287094116211
BPSK,0.01,0.03,0.025,48,0.0,0.0,0.9998,90.0,0.0,9,10,0.049164533615112305
BPSK,0.01,0.03,0.025,48,0.0,0.0,1.0002,90.0,0.0,9,10,0.0446629524230957
BPSK,0.01,0.03,0.025,48,0.0,0.015,0.9998,80.0,0.1,8,10,0.047064781188964844
BPSK,0.01,0.03,0.025,48,0.0,0.015,1.0002,80.0,0.1,8,10,0.04565882682800293
BPSK,0.01,0.03,0.025,48,0.2,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.052668094635009766
BPSK,0.01,0.03,0.025,48,0.2,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.049237966537475586
BPSK,0.01,0.03,0.025,48,0.2,0.0,0.9998,90.0,0.005000000000000001,9,10,0.051648616790771484
BPSK,0.01,0.03,0.025,48,0.2,0.0,1.0002,90.0,0.005000000000000001,9,10,0.041113853454589844
BPSK,0.01,0.03,0.025,48,0.2,0.015,0.9998,80.0,0.010000000000000002,8,10,0.05611681938171387
BPSK,0.01,0.03,0.025,48,0.2,0.015,1.0002,80.0,0.010000000000000002,8,10,0.047565460205078125
BPSK,0.01,0.03,0.025,48,0.45,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.05292105674743652
BPSK,0.01,0.03,0.025,48,0.45,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.04559636116027832
BPSK,0.01,0.03,0.025,48,0.45,0.0,0.9998,90.0,0.005000000000000001,9,10,0.055945634841918945
BPSK,0.01,0.03,0.025,48,0.45,0.0,1.0002,90.0,0.005000000000000001,9,10,0.04788041114807129
BPSK,0.01,0.03,0.025,48,0.45,0.015,0.9998,80.0,0.010000000000000002,8,10,0.057021379470825195
BPSK,0.01,0.03,0.025,48,0.45,0.015,1.0002,80.0,0.010000000000000002,8,10,0.046109676361083984
BPSK,0.01,0.03,0.045,16,0.0,-0.015,0.9998,80.0,0.1,8,10,0.04683709144592285
BPSK,0.01,0.03,0.045,16,0.0,-0.015,1.0002,80.0,0.1,8,10,0.04139518737792969
BPSK,0.01,0.03,0.045,16,0.0,0.0,0.9998,90.0,0.0,9,10,0.05249190330505371
BPSK,0.01,0.03,0.045,16,0.0,0.0,1.0002,90.0,0.0,9,10,0.07404088973999023
BPSK,0.01,0.03,0.045,16,0.0,0.015,0.9998,80.0,0.1,8,10,0.037920475006103516
BPSK,0.01,0.03,0.045,16,0.0,0.015,1.0002,80.0,0.1,8,10,0.04723381996154785
BPSK,0.01,0.03,0.045,16,0.2,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.04950881004333496
BPSK,0.01,0.03,0.045,16,0.2,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.03873872756958008
