Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,Platform,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
QPSK,0.0314,0.0628,0.01,24,0.02,0.005,0.9999,hardware,90.0,0.0025000000000000005,9,10,0.060443878173828125
QPSK,0.0314,0.0628,0.01,48,0.08,0.005,0.9996,hardware,80.0,0.005000000000000001,8,10,0.04067111015319824
QPSK,0.0314,0.0628,0.055,48,0.35,0.005,1.0004,hardware,90.0,0.0025000000000000005,9,10,0.04304909706115723
QPSK,0.0314,0.0628,0.5,24,0.5,0.005,1.0004,software,0.0,0.025,0,10,0.07024121284484863
QPSK,0.0314,0.0628,0.055,64,0.18,0.005,1.0001,software,90.0,0.0025000000000000005,9,10,0.06336498260498047
BPSK,0.0314,0.0628,0.5,16,0.5,0.005,1.0,software,0.0,0.025,0,10,0.06245779991149902
QPSK,0.0314,0.0628,0.025,64,0.35,0.005,0.9996,software,90.0,0.0025000000000000005,9,10,0.07824921607971191
BPSK,0.0314,0.0628,0.055,48,0.18,0.005,1.0004,hardware,80.0,0.005000000000000001,8,10,0.06429219245910645
QPSK,0.0314,0.0628,0.055,16,0.5,0.005,0.9999,hardware,80.0,0.005000000000000001,8,10,0.054787635803222656
QPSK,0.0314,0.0628,0.055,64,0.12,0.005,0.9999,hardware,90.0,0.0025000000000000005,9,10,0.06758308410644531
QPSK,0.005,0.1,0.025,32,0.02,-0.01,1.0,software,90.0,0.0025000000000000005,9,10,0.06179165840148926
QPSK,0.0314,0.0628,0.055,16,0.35,0.005,1.0,hardware,90.0,0.0025000000000000005,9,10,0.06810641288757324
QPSK,0.0314,0.0628,0.01,64,0.5,0.005,0.9992,hardware,20.0,0.020000000000000004,2,10,0.05785799026489258
QPSK,0.026,0.03,0.025,32,0.02,-0.03,1.0,software,80.0,0.005000000000000001,8,10,0.05190467834472656
BPSK,0.0314,0.0628,0.5,24,0.25,0.005,0.9999,hardware,0.0,0.025,0,10,0.06648445129394531
BPSK,0.0314,0.0628,0.5,48,0.05,0.005,1.0,software,0.0,0.025,0,10,0.05654335021972656
BPSK,0.0314,0.0628,0.01,64,0.12,0.005,1.0001,hardware,90.0,0.0025000000000000005,9,10,0.07698893547058105
QPSK,0.0314,0.0628,0.01,16,0.25,0.005,1.0008,software,20.0,0.020000000000000004,2,10,0.051705360412597656
QPSK,0.0314,0.0628,0.025,32,0.0,0.005,0.9992,software,90.0,0.0,9,10,0.06319761276245117
QPSK,0.0314,0.09,0.035,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.05907011032104492
QPSK,0.0314,0.0628,0.055,32,0.25,0.005,0.9999,software,90.0,0.0025000000000000005,9,10,0.05225539207458496
BPSK,0.0314,0.0628,0.5,64,0.25,0.005,0.9996,hardware,0.0,0.025,0,10,0.05782604217529297
BPSK,0.0314,0.0628,0.25,16,0.5,0.005,1.0001,software,20.0,0.020000000000000004,2,10,0.05967831611633301
QPSK,0.0314,0.0628,0.115,16,0.5,0.005,1.0,software,90.0,0.0025000000000000005,9,10,0.058515071868896484
QPSK,0.0314,0.0628,0.01,48,0.35,0.005,0.9996,software,70.0,0.0075,7,10,0.05200028419494629
QPSK,0.0314,0.09,0.055,32,0.15,0.0,1.0,software,90.0,0.0025000000000000005,9,10,0.05289483070373535
QPSK,0.0314,0.0628,0.115,32,0.35,0.005,1.0004,hardware,90.0,0.0025000000000000005,9,10,0.05302119255065918
BPSK,0.0314,0.0628,0.025,24,0.0,0.005,1.0,hardware,90.0,0.0,9,10,0.04413414001464844
QPSK,0.0314,0.0628,0.5,16,0.12,0.005,0.9996,hardware,0.0,0.025,0,10,0.06042337417602539
QPSK,0.0314,0.11,0.7,32,0.0,0.0,1.0,software,0.0,0.5,0,10,0.06126713752746582
QPSK,0.0314,0.0628,0.025,64,0.05,0.005,0.9996,software,90.0,0.0025000000000000005,9,10,0.06629300117492676
QPSK,0.0314,0.0628,0.055,24,0.35,0.005,1.0,hardware,90.0,0.0025000000000000005,9,10,0.07859992980957031
BPSK,0.055,0.1,0.025,32,0.02,0.0,1.0,software,90.0,0.0025000000000000005,9,10,0.05509138107299805
QPSK,0.0314,0.0628,1.0,64,0.12,0.005,1.0001,software,0.0,0.025,0,10,0.06614804267883301
BPSK,0.0314,0.0628,1.0,48,0.25,0.005,1.0001,software,0.0,0.025,0,10,0.055603981018066406
BPSK,0.0314,0.0628,0.115,32,0.02,0.005,0.9996,software,40.0,0.015,4,10,0.05991768836975098
QPSK,0.0314,0.0628,0.5,24,0.05,0.005,1.0004,software,0.0,0.025,0,10,0.0451045036315918
BPSK,0.0314,0.0628,0.01,16,0.12,0.005,0.9999,software,90.0,0.0025000000000000005,9,10,0.049990177154541016
BPSK,0.0314,0.0628,0.025,16,0.5,0.005,0.9996,software,90.0,0.0025000000000000005,9,10,0.05369925498962402
BPSK,0.0314,0.0628,0.025,64,0.02,0.005,0.9996,hardware,90.0,0.0025000000000000005,9,10,0.0637521743774414
