mod_type,hw_type,fll_bw,costas_bw,sym_bw,preamble_size,cf_mhz,tx_gain,rx_gain,pdr,ber,matched_packets,total_packets,elapsed_sec
QPSK,sim,0.0628,0.1,0.103,32,433.98,20.0,30.0,0.0,0.5,0,10,0.0657
BPSK,sim,0.02,0.03,0.029,32,433.98,20.0,30.0,0.0,0.5,0,10,0.1214
QPSK,sim,0.0314,0.075,0.081,32,433.98,20.0,30.0,0.0,0.5,0,10,0.0689
QPSK,sim,0.0314,0.085,0.061,32,433.98,20.0,30.0,0.0,0.5,0,10,0.0642
BPSK,sim,0.02,0.05,0.041,32,433.98,20.0,30.0,0.0,0.5,0,10,0.1184
QPSK,sim,0.0628,0.09,0.005,32,433.98,20.0,30.0,40.0,0.3,4,10,0.0138
BPSK,sim,0.0314,0.03,0.021,32,433.98,20.0,30.0,90.0,0.05,9,10,0.0158
QPSK,sim,0.0314,0.1,0.107,32,433.98,20.0,30.0,40.0,0.3,4,10,0.014
QPSK,sim,0.0628,0.075,0.135,32,433.98,20.0,30.0,60.0,0.2,6,10,0.0137
QPSK,sim,0.02,0.035,0.007,32,433.98,20.0,30.0,60.0,0.2,6,10,0.0147
