Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,TX_Target,RX_Target,PDR,BER,MatchedPkts,TotalPkts
QPSK,0.0628,0.1,0.103,32,sim,sim,90.0,0.05,9,10
BPSK,0.02,0.03,0.029,32,sim,sim,90.0,0.05,9,10
QPSK,0.0314,0.075,0.081,32,sim,sim,90.0,0.05,9,10
QPSK,0.0314,0.085,0.061,32,sim,sim,90.0,0.05,9,10
BPSK,0.02,0.05,0.041,32,sim,sim,90.0,0.05,9,10
QPSK,0.0628,0.09,0.005,32,sim,sim,90.0,0.05,9,10
BPSK,0.0314,0.03,0.021,32,sim,sim,90.0,0.05,9,10
QPSK,0.0314,0.1,0.107,32,sim,sim,90.0,0.05,9,10
QPSK,0.0628,0.075,0.135,32,sim,sim,90.0,0.05,9,10
QPSK,0.02,0.035,0.007,32,sim,sim,90.0,0.05,9,10
